,0
1942-08,0.01828127664275882
1942-09,0.026315738470272965
1942-10,0.06844166884541834
1942-11,0.0017918239492544599
1942-12,0.05138727756979569
1943-01,0.07163232080696481
1943-02,0.06178889385218827
1943-03,0.060272651654805304
1943-04,0.008370047353566262
1943-05,0.057536657715190245
1943-06,0.01848857521521069
1943-07,-0.04738821447515614
1943-08,0.013285598112985662
1943-09,0.02408157121604382
1943-10,-0.010683610863835727
1943-11,-0.05896563978037178
1943-12,0.06419778447699663
1944-01,0.01785076885402637
1944-02,0.004254273279507882
1944-03,0.024991692694694694
1944-04,-0.016554703337823457
1944-05,0.05002368906206964
1944-06,0.05596395737860516
1944-07,-0.014630348297385293
1944-08,0.015985912093183004
1944-09,0.00034902322244970894
1944-10,0.0018942270202763772
1944-11,0.017438244881824026
